in:Run,in:WWR_N,in:WWR_W,in:WWR_S,in:WWR_E,in:Wall_U_Value,in:Chi_Value,in:Shading_N,in:Shading_W,in:Shading_S,in:Shading_E,in:Window_U_Value,in:SHGC,out:Illuminance %,out:EUI kWh/m2,N_illuminace,N_EUI,I_EUI,out:Value,img,threeD
21,40,60,40,50,0.141,0.1,10,10,10,10,0.48,0.3,47.378768,57.902218,0.385964908,0.188461241,0.811538759,0.598751833,Run21_Joyce Street.png,Run21.json
156,30,60,70,60,0.189,0.1,5,10,5,10,0.48,0.3,45.93709,56.94714,0.330827047,0.150612252,0.849387748,0.590107398,Run156_Joyce Street.png,Run156.json
174,30,60,50,50,0.141,0.1,5,10,10,5,0.48,0.3,46.854522,57.177281,0.365914797,0.159732558,0.840267442,0.60309112,Run174_Joyce Street.png,Run174.json
118,40,70,30,30,0.141,0.1,5,5,10,10,0.48,0.3,41.677588,56.790618,0.167919778,0.144409408,0.855590592,0.511755185,Run118_Joyce Street.png,Run118.json
57,70,60,60,50,0.284,0.1,10,10,5,5,1.4,0.5,56.094364,71.493837,0.719298228,0.727086409,0.272913591,0.49610591,Run57_Joyce Street.png,Run57.json
109,60,40,70,40,0.141,0.48,5,10,10,10,1.4,0.7,55.504587,69.50092,0.696741845,0.648108676,0.351891324,0.524316584,Run109_Joyce Street.png,Run109.json
95,70,60,40,60,0.141,0.1,10,10,5,10,1.4,0.7,54.390564,68.673477,0.654135351,0.615317761,0.384682239,0.519408795,Run95_Joyce Street.png,Run95.json
9,50,50,70,40,0.141,0.1,5,5,10,5,1.4,0.5,54.325033,67.690835,0.651629078,0.576376432,0.423623568,0.537626323,Run9_Joyce Street.png,Run9.json
141,60,60,60,40,0.141,0.48,5,5,5,5,0.48,0.7,54.193971,66.315482,0.646616531,0.521872274,0.478127726,0.562372128,Run141_Joyce Street.png,Run141.json
19,60,40,30,70,0.189,0.48,10,5,10,5,0.48,0.5,51.900393,58.327037,0.558897232,0.205296484,0.794703516,0.676800374,Run19_Joyce Street.png,Run19.json
28,30,70,70,60,0.189,0.48,5,10,10,10,0.48,0.3,50.524246,58.314129,0.506265645,0.20478495,0.79521505,0.650740347,Run28_Joyce Street.png,Run28.json
66,70,30,40,30,0.141,0.48,5,10,5,10,0.48,0.5,50.327654,58.113805,0.498746863,0.196846268,0.803153732,0.650950298,Run66_Joyce Street.png,Run66.json
88,70,60,60,30,0.284,0.48,10,5,5,5,0.48,0.5,52.621232,58.803446,0.586466162,0.224176198,0.775823802,0.681144982,Run88_Joyce Street.png,Run88.json
181,50,50,50,50,0.284,0.1,5,5,10,5,0.48,0.3,53.407602,59.16196,0.616541366,0.238383826,0.761616174,0.68907877,Run181_Joyce Street.png,Run181.json
